uk,geo_name,geo_network,province_tr,district_tr,erdogan,kilicdaroglu
relation_1842146,Besiri,TR72-districts,Batman,Beşiri,5457,9665
relation_1842147,Gercus,TR72-districts,Batman,Gercüş,5355,4573
relation_1361162,Hasankeyf,TR72-districts,Batman,Hasankeyf,1963,1956
relation_1842148,Kozluk,TR72-districts,Batman,Kozluk,10769,18585
relation_1842145,Batman Merkez,TR72-districts,Batman,Merkez,68021,173444
relation_1842149,Sason,TR72-districts,Batman,Sason,8612,5276
relation_1596964,Aydintepe,TR69-districts,Bayburt,Aydıntepe,3277,765
relation_1596963,Demirozu,TR69-districts,Bayburt,Demirözü,4653,593
relation_1596962,Bayburt merkez,TR69-districts,Bayburt,Merkez,31801,7097
relation_1238965,Bozuyuk,TR11-districts,Bilecik,Bozüyük,26537,26788
relation_1238964,Golpazari,TR11-districts,Bilecik,Gölpazarı,3759,2691
relation_1238967,Inhisar,TR11-districts,Bilecik,İnhisar,1003,658
relation_1238969,Bilecik (merkez),TR11-districts,Bilecik,Merkez,25151,23348
relation_1238963,Osmaneli,TR11-districts,Bilecik,Osmaneli,8632,6109
relation_1238968,Pazaryeri,TR11-districts,Bilecik,Pazaryeri,4239,2647
relation_1238966,Sogut,TR11-districts,Bilecik,Söğüt,7482,5057
relation_1238962,Yenipazar,TR11-districts,Bilecik,Yenipazar,1416,759
relation_1836190,Adakli,TR12-districts,Bingöl,Adaklı,2960,1653
relation_1836192,Genc,TR12-districts,Bingöl,Genç,14540,3142
relation_1836193,Karliova,TR12-districts,Bingöl,Karlıova,5248,6228
relation_1836194,Kigi,TR12-districts,Bingöl,Kiğı,1169,1713
relation_1836191,Bingol merkez,TR12-districts,Bingöl,Merkez,56949,26642
relation_1836195,Solhan,TR12-districts,Bingöl,Solhan,13825,3175
relation_1836196,Yayladere,TR12-districts,Bingöl,Yayladere,419,940
relation_1836197,Yedisu,TR12-districts,Bingöl,Yedisu,620,1392
relation_1836395,Adilcevaz,TR13-districts,Bitlis,Adilcevaz,5879,6414
relation_1836396,Ahlat,TR13-districts,Bitlis,Ahlat,9333,10503
relation_1836398,Guroymak,TR13-districts,Bitlis,Güroymak,9165,11498
relation_1668092,Hizan,TR13-districts,Bitlis,Hizan,8463,6455
relation_1836397,Bitlis merkez,TR13-districts,Bitlis,Merkez,17690,16615
relation_1836399,Mutki,TR13-districts,Bitlis,Mutki,10679,2777
relation_1836400,Tatvan,TR13-districts,Bitlis,Tatvan,21015,28664
relation_1795631,Dortdivan,TR14-districts,Bolu,Dörtdivan,4446,485
relation_1795632,Gerede,TR14-districts,Bolu,Gerede,21109,2911
relation_1392574,Goynuk,TR14-districts,Bolu,Göynük,8225,2022
relation_1795633,Kibriscik,TR14-districts,Bolu,Kıbrıscık,1100,1064
relation_1795634,Mengen,TR14-districts,Bolu,Mengen,5749,3613
relation_1795630,Bolu merkez,TR14-districts,Bolu,Merkez,78146,56777
relation_1392573,Mudurnu,TR14-districts,Bolu,Mudurnu,8783,4105
relation_1795635,Seben,TR14-districts,Bolu,Seben,2123,1261
relation_1795636,Yenicaga,TR14-districts,Bolu,Yeniçağa,3989,792
relation_1280041,Aglasun,TR15-districts,Burdur,Ağlasun,3847,1580
relation_1280045,Altinyayla,TR15-districts,Burdur,Altınyayla,2703,864
relation_1280042,Bucak,TR15-districts,Burdur,Bucak,27409,16397
relation_1280050,Cavdir,TR15-districts,Burdur,Çavdır,4858,3434
relation_1280043,Celtikci,TR15-districts,Burdur,Çeltikçi,2494,1205
relation_1280047,Golhisar,TR15-districts,Burdur,Gölhisar,9882,4826
relation_1280051,Karamanli,TR15-districts,Burdur,Karamanlı,2675,3002
relation_1280046,Kemer,TR15-districts,Burdur,Kemer,1515,654
relation_1280048,Burdur (merkez),TR15-districts,Burdur,Merkez,34160,36470
relation_1280049,Tefenni,TR15-districts,Burdur,Tefenni,3752,3295
relation_1280044,Yesilova,TR15-districts,Burdur,Yeşilova,4661,5769
relation_1273944,Buyukorhan,TR16-districts,Bursa,Büyükorhan,5471,1299
relation_1273958,Gemlik,TR16-districts,Bursa,Gemlik,38969,40087
relation_1273957,Gursu,TR16-districts,Bursa,Gürsu,40729,17955
relation_1273945,Harmancik,TR16-districts,Bursa,Harmancık,3183,1333
relation_1273938,Inegol,TR16-districts,Bursa,İnegöl,126035,56236
relation_1273931,Iznik,TR16-districts,Bursa,İznik,17196,14236
relation_1273950,Karacabey,TR16-districts,Bursa,Karacabey,28562,27849
relation_1273941,Keles,TR16-districts,Bursa,Keles,6237,2250
relation_1273939,Kestel,TR16-districts,Bursa,Kestel,28151,19749
relation_1273953,Mudanya,TR16-districts,Bursa,Mudanya,30338,46183
relation_1273947,Mustafakemalpasa,TR16-districts,Bursa,Mustafakemalpaşa,39057,32428
relation_1273952,Nilufer,TR16-districts,Bursa,Nilüfer,129878,210562
relation_1273951,Orhaneli,TR16-districts,Bursa,Orhaneli,9642,4298
relation_1273933,Orhangazi,TR16-districts,Bursa,Orhangazi,29003,25691
relation_1273954,Osmangazi,TR16-districts,Bursa,Osmangazi,320552,250817
relation_1273936,Yenisehir,TR16-districts,Bursa,Yenişehir,20934,16599
relation_1273955,Yildirim,TR16-districts,Bursa,Yıldırım,244574,160203
relation_1815261,Ayvacik,TR17-districts,Çanakkale,Ayvacık,10919,13779
relation_1816956,Bayramic,TR17-districts,Çanakkale,Bayramiç,9386,12071
relation_1593709,Biga,TR17-districts,Çanakkale,Biga,34780,29431
relation_1815262,Bozcaada,,Çanakkale,Bozcaada,538,1736
relation_1816958,Can,TR17-districts,Çanakkale,Çan,17902,16693
relation_1815219,Eceabat,TR17-districts,Çanakkale,Eceabat,1671,4842
relation_1816957,Ezine,TR17-districts,Çanakkale,Ezine,9746,12293
relation_1815220,Gelibolu,TR17-districts,Çanakkale,Gelibolu,10511,19296
relation_1815263,Gokceada,,Çanakkale,Gökçeada,2470,3776
relation_1815245,Lapseki,TR17-districts,Çanakkale,Lapseki,11080,9910
relation_1816280,Canakkale merkez,TR17-districts,Çanakkale,Merkez,37310,90428
relation_1589927,Yenice,TR17-districts,Çanakkale,Yenice,14423,8499
relation_1647150,Atkaracalar,TR18-districts,Çankırı,Atkaracalar,2212,516
relation_1647148,Bayramoren,TR18-districts,Çankırı,Bayramören,1558,261
relation_1647157,Cerkes,TR18-districts,Çankırı,Çerkeş,7567,2999
relation_1647153,Eldivan,TR18-districts,Çankırı,Eldivan,3365,1015
relation_1647151,Ilgaz,TR18-districts,Çankırı,Ilgaz,7573,2005
relation_1647156,Kizilirmak,TR18-districts,Çankırı,Kızılırmak,4376,711
relation_1647147,Korgun,TR18-districts,Çankırı,Korgun,2495,370
relation_1647155,Kursunlu,TR18-districts,Çankırı,Kurşunlu,4612,1254
relation_1647154,Cankiri merkez,TR18-districts,Çankırı,Merkez,40550,15300
relation_1647152,Orta,TR18-districts,Çankırı,Orta,7619,759
relation_1647158,Sabanozu,TR18-districts,Çankırı,Şabanözü,5718,2320
relation_1647149,Yaprakli,TR18-districts,Çankırı,Yapraklı,4948,530
relation_1331281,Alaca,TR19-districts,Çorum,Alaca,14157,5904
relation_1331277,Bayat,TR19-districts,Çorum,Bayat,8048,1967
relation_1331282,Bogazkale,TR19-districts,Çorum,Boğazkale,2160,490
relation_1330571,Dodurga,TR19-districts,Çorum,Dodurga,2376,1571
relation_1331274,Iskilip,TR19-districts,Çorum,İskilip,16306,4071
relation_1331194,Kargi,TR19-districts,Çorum,Kargı,8463,2963
relation_1331275,Lacin,TR19-districts,Çorum,Laçin,2243,839
relation_1331283,Mecitozu,TR19-districts,Çorum,Mecitözü,6176,4505
relation_1331279,Corum merkez,TR19-districts,Çorum,Merkez,112747,79513
relation_1331280,Oguzlar,TR19-districts,Çorum,Oğuzlar,2656,1102
relation_1331276,Ortakoy,TR19-districts,Çorum,Ortaköy,2619,1914
relation_1331195,Osmancik,TR19-districts,Çorum,Osmancık,20743,8500
relation_1331278,Sungurlu,TR19-districts,Çorum,Sungurlu,23221,8572
relation_1331284,Ugurludag,TR19-districts,Çorum,Uğurludağ,3668,753
relation_1605790,Acipayam,TR20-districts,Denizli,Acıpayam,21908,16131
relation_1606200,Babadag,TR20-districts,Denizli,Babadağ,2397,1965
relation_1606207,Baklan,TR20-districts,Denizli,Baklan,2028,1870
relation_1606203,Bekilli,TR20-districts,Denizli,Bekilli,1924,2869
relation_1606209,Beyagac,TR20-districts,Denizli,Beyağaç,2504,1969
relation_1606199,Bozkurt,TR20-districts,Denizli,Bozkurt,3387,4056
relation_1606204,Buldan,TR20-districts,Denizli,Buldan,8471,9679
relation_1606205,Cal,TR20-districts,Denizli,Çal,5721,7315
relation_1605791,Cameli,TR20-districts,Denizli,Çameli,8950,3634
relation_1606202,Cardak,TR20-districts,Denizli,Çardak,2707,3171
relation_1606210,Civril,TR20-districts,Denizli,Çivril,19758,19341
relation_1606208,Guney,TR20-districts,Denizli,Güney,3227,3735
relation_1606206,Honaz,TR20-districts,Denizli,Honaz,9438,10638
relation_1607200,Kale,TR20-districts,Denizli,Kale,8030,4835
relation_1606211,Merkezefendi,TR20-districts,Denizli,Merkezefendi,93810,127438
relation_1606201,Pamukkale,TR20-districts,Denizli,Pamukkale,102012,118123
relation_1606212,Saraykoy,TR20-districts,Denizli,Sarayköy,7574,13346
relation_3446022,Serinhisar,TR20-districts,Denizli,Serinhisar,5519,4631
